Document_ID,Date,Amount,Currency,Vendor_ID,Customer_ID,Reference
SAGE10035,2025-02-16,2850.09,GBP,V1004,C2001,INV-1035
SAGE10036,2025-03-31,3827.85,GBP,V1009,C2002,INV-1036
SAGE10037,2025-01-14,2661.39,GBP,V1008,C2003,INV-1037
SAGE10038,2025-03-18,224.55,GBP,V1002,C2007,INV-1038
SAGE10039,2025-02-23,254.0,GBP,V1006,C2004,INV-1039
SAGE10040,2025-01-23,2602.44,GBP,V1008,C2003,INV-1040
SAGE10041,2025-01-13,1095.0,GBP,V1005,C2000,INV-1041
SAGE10042,2025-01-27,3504.45,GBP,V1003,C2000,INV-1042
SAGE10043,2025-03-01,3159.33,GBP,V1005,C2006,INV-1043
SAGE10044,2025-01-29,616.92,GBP,V1004,C2001,INV-1044
SAGE10046,2025-03-15,4473.54,GBP,V1005,C2003,INV-1046
SAGE10047,2025-03-28,698.23,GBP,V1007,C2006,INV-1047
SAGE10048,2025-01-25,1433.45,GBP,V1007,C2002,INV-1048
SAGE10049,2025-01-03,4108.27,GBP,V1004,C2002,INV-1049
SAGE10050,2025-02-05,2164.55,GBP,V1003,C2008,INV-1050
SAGE10051,2025-03-20,1754.31,GBP,V1008,C2004,INV-1051
SAGE10052,2025-03-27,1683.69,GBP,V1009,C2006,INV-1052
SAGE10053,2025-03-01,2078.8,GBP,V1009,C2006,INV-1053
SAGE10054,2025-01-11,1344.19,GBP,V1005,C2003,INV-1054
SAGE10055,2025-02-23,3590.13,GBP,V1002,C2008,INV-1055
SAGE10056,2025-01-01,1407.23,GBP,V1007,C2001,INV-1056
SAGE10057,2025-03-30,2114.08,GBP,V1000,C2001,INV-1057
SAGE10058,2025-01-01,1790.85,GBP,V1002,C2002,INV-1058
SAGE10059,2025-02-23,3435.46,GBP,V1006,C2009,INV-1059
SAGE10061,2025-03-16,3393.46,GBP,V1006,C2009,INV-1061
SAGE10062,2025-02-09,1286.58,GBP,V1007,C2008,INV-1062
SAGE10063,2025-03-11,3198.3,GBP,V1004,C2008,INV-1063
SAGE10064,2025-01-14,4100.52,GBP,V1000,C2001,INV-1064
SAGE10065,2025-03-02,838.52,GBP,V1008,C2004,INV-1065
SAGE10066,2025-03-01,4305.96,GBP,V1005,C2001,INV-1066
SAGE10067,2025-03-08,181.28,GBP,V1004,C2006,INV-1067
SAGE10068,2025-03-13,1808.46,GBP,V1002,C2007,INV-1068
SAGE10069,2025-02-08,4708.56,GBP,V1000,C2004,INV-1069
SAGE10070,2025-01-09,4188.89,GBP,V1008,C2002,INV-1070
SAGE10071,2025-01-30,1124.45,GBP,V1008,C2001,INV-1071
SAGE10072,2025-01-15,1363.91,GBP,V1004,C2008,INV-1072
SAGE10073,2025-02-27,4912.62,GBP,V1009,C2003,INV-1073
SAGE10074,2025-02-18,1285.08,GBP,V1002,C2005,INV-1074
SAGE10076,2025-01-07,3202.2,GBP,V1008,C2000,INV-1076
SAGE10077,2025-02-17,1811.13,GBP,V1009,C2005,INV-1077
SAGE10078,2025-02-21,4295.99,GBP,V1007,C2000,INV-1078
SAGE10079,2025-03-14,3245.96,GBP,V1001,C2005,INV-1079
SAGE10080,2025-02-07,908.88,GBP,V1004,C2003,INV-1080
SAGE10081,2025-03-30,1924.19,GBP,V1000,C2003,INV-1081
SAGE10082,2025-01-17,4870.95,GBP,V1009,C2001,INV-1082
SAGE10083,2025-02-06,2479.51,GBP,V1001,C2007,INV-1083
SAGE10084,2025-02-03,1198.92,GBP,V1001,C2008,INV-1084
SAGE10085,2025-01-22,1262.52,GBP,V1002,C2002,INV-1085
SAGE10086,2025-01-08,1895.7,GBP,V1007,C2008,INV-1086
SAGE10087,2025-02-03,3322.3,GBP,V1002,C2004,INV-1087
SAGE10088,2025-03-29,2593.19,GBP,V1008,C2009,INV-1088
SAGE10089,2025-01-08,2485.04,GBP,V1006,C2003,INV-1089
SAGE10091,2025-03-03,2926.83,GBP,V1004,C2006,INV-1091
SAGE10092,2025-03-02,1056.69,GBP,V1005,C2007,INV-1092
SAGE10093,2025-03-03,2902.82,GBP,V1008,C2007,INV-1093
SAGE10094,2025-02-14,313.66,GBP,V1001,C2003,INV-1094
SAGE10095,2025-02-17,2402.73,GBP,V1003,C2001,INV-1095
SAGE10096,2025-02-08,4429.12,GBP,V1005,C2000,INV-1096
SAGE10097,2025-02-22,2198.1,GBP,V1009,C2008,INV-1097
SAGE10098,2025-03-06,4903.62,GBP,V1003,C2009,INV-1098
SAGE10099,2025-03-26,1986.98,GBP,V1003,C2000,INV-1099
